instance,n,W,V,method,profit,time,nodes
inst_N10_W100_V200_3.txt,10,100,200,backtracking,359,0.000176,1477
inst_N10_W100_V200_3.txt,10,100,200,branchBound,351,0.000023,N/A
inst_N10_W100_V200_4.txt,10,100,200,dynamicProg,383,0.024854,N/A
inst_N10_W100_V200_4.txt,10,100,200,backtracking,383,0.000379,1949
inst_N10_W100_V200_4.txt,10,100,200,branchBound,383,0.000005,N/A
inst_N10_W100_V200_5.txt,10,100,200,dynamicProg,349,0.029183,N/A
inst_N10_W100_V200_5.txt,10,100,200,backtracking,349,0.000264,1715
inst_N10_W100_V200_5.txt,10,100,200,branchBound,349,0.000011,N/A
inst_N10_W100_V200_6.txt,10,100,200,dynamicProg,419,0.018420,N/A
inst_N10_W100_V200_6.txt,10,100,200,backtracking,419,0.000260,1511
inst_N10_W100_V200_6.txt,10,100,200,branchBound,419,0.000025,N/A
inst_N10_W100_V200_7.txt,10,100,200,dynamicProg,528,0.022487,N/A
inst_N10_W100_V200_7.txt,10,100,200,backtracking,528,0.000319,1707
inst_N10_W100_V200_7.txt,10,100,200,branchBound,528,0.000012,N/A
inst_N10_W100_V200_8.txt,10,100,200,dynamicProg,332,0.015008,N/A
inst_N10_W100_V200_8.txt,10,100,200,backtracking,332,0.000199,1283
inst_N10_W100_V200_8.txt,10,100,200,branchBound,332,0.000048,N/A
inst_N10_W100_V200_9.txt,10,100,200,dynamicProg,304,0.016772,N/A
inst_N10_W100_V200_9.txt,10,100,200,backtracking,304,0.000190,1691
inst_N10_W100_V200_9.txt,10,100,200,branchBound,304,0.000013,N/A
inst_N10_W100_V250_0.txt,10,100,250,dynamicProg,440,0.031370,N/A
inst_N10_W100_V250_0.txt,10,100,250,backtracking,440,0.000224,2001
inst_N10_W100_V250_0.txt,10,100,250,branchBound,440,0.000008,N/A
inst_N10_W100_V250_1.txt,10,100,250,dynamicProg,478,0.030796,N/A
inst_N10_W100_V250_1.txt,10,100,250,backtracking,478,0.000227,2035
inst_N10_W100_V250_1.txt,10,100,250,branchBound,478,0.000011,N/A
inst_N10_W100_V250_2.txt,10,100,250,dynamicProg,504,0.025285,N/A
inst_N10_W100_V250_2.txt,10,100,250,backtracking,504,0.000181,1707
inst_N10_W100_V250_2.txt,10,100,250,branchBound,504,0.000008,N/A
inst_N10_W100_V250_3.txt,10,100,250,dynamicProg,406,0.026956,N/A
inst_N10_W100_V250_3.txt,10,100,250,backtracking,406,0.000183,1639
inst_N10_W100_V250_3.txt,10,100,250,branchBound,406,0.000010,N/A
inst_N10_W100_V250_4.txt,10,100,250,dynamicProg,375,0.029002,N/A
inst_N10_W100_V250_4.txt,10,100,250,backtracking,375,0.000183,1859
inst_N10_W100_V250_4.txt,10,100,250,branchBound,375,0.000011,N/A
inst_N10_W100_V250_5.txt,10,100,250,dynamicProg,327,0.029926,N/A
inst_N10_W100_V250_5.txt,10,100,250,backtracking,327,0.000231,2015
inst_N10_W100_V250_5.txt,10,100,250,branchBound,326,0.000005,N/A
inst_N10_W100_V250_6.txt,10,100,250,dynamicProg,501,0.028515,N/A
inst_N10_W100_V250_6.txt,10,100,250,backtracking,501,0.000240,1863
inst_N10_W100_V250_6.txt,10,100,250,branchBound,501,0.000025,N/A
inst_N10_W100_V250_7.txt,10,100,250,dynamicProg,485,0.025271,N/A
inst_N10_W100_V250_7.txt,10,100,250,backtracking,485,0.000177,1631
inst_N10_W100_V250_7.txt,10,100,250,branchBound,477,0.000003,N/A
inst_N10_W100_V250_8.txt,10,100,250,dynamicProg,339,0.021780,N/A
inst_N10_W100_V250_8.txt,10,100,250,backtracking,339,0.000173,1197
inst_N10_W100_V250_8.txt,10,100,250,branchBound,339,0.000008,N/A
inst_N10_W100_V250_9.txt,10,100,250,dynamicProg,388,0.026071,N/A
inst_N10_W100_V250_9.txt,10,100,250,backtracking,388,0.000236,1785
inst_N10_W100_V250_9.txt,10,100,250,branchBound,388,0.000010,N/A
inst_N10_W100_V300_0.txt,10,100,300,dynamicProg,423,0.027487,N/A
inst_N10_W100_V300_0.txt,10,100,300,backtracking,423,0.000162,1635
inst_N10_W100_V300_0.txt,10,100,300,branchBound,393,0.000003,N/A
inst_N10_W100_V300_1.txt,10,100,300,dynamicProg,407,0.032531,N/A
inst_N10_W100_V300_1.txt,10,100,300,backtracking,407,0.000206,1781
inst_N10_W100_V300_1.txt,10,100,300,branchBound,407,0.000011,N/A
inst_N10_W100_V300_2.txt,10,100,300,dynamicProg,459,0.027194,N/A
inst_N10_W100_V300_2.txt,10,100,300,backtracking,459,0.000197,1783
inst_N10_W100_V300_2.txt,10,100,300,branchBound,459,0.000009,N/A
inst_N10_W100_V300_3.txt,10,100,300,dynamicProg,397,0.044376,N/A
inst_N10_W100_V300_3.txt,10,100,300,backtracking,397,0.000417,1603
inst_N10_W100_V300_3.txt,10,100,300,branchBound,397,0.000024,N/A
inst_N10_W100_V300_4.txt,10,100,300,dynamicProg,382,0.047026,N/A
inst_N10_W100_V300_4.txt,10,100,300,backtracking,382,0.000210,1943
inst_N10_W100_V300_4.txt,10,100,300,branchBound,382,0.000020,N/A
